A	B	C	D
0.0000	4.4258	7.2007	37.449
1.7557	4.4258	7.2007	62.8916
9.8515	5.3964	7.2893	78.2298
5.0398	6.2351	3.289	74.7451
0.7593	3.5378	9.673	120.2838
5.7762	9.0621	0.925	139.4377
8.8807	5.3009	4.3282	116.3878
9.4295	2.3142	1.7413	53.8097
3.3948	5.2373	2.3549	30.1569
3.0899	5.786	9.3674	37.8386
2.0695	4.1548	8.8003	77.5434
7.0594	8.8422	4.1095	106.7115
9.2154	5.6766	5.9753	101.0697
2.2369	9.345	9.6948	79.0538
6.7204	8.3313	8.2718	92.131
9.2321	6.1959	2.0718	101.0969
1.0288	1.8913	8.6296	53.5542
3.0574	4.7805	8.1953	70.4819
5.6834	6.1846	1.7236	60.3024
6.3482	6.7943	0.6228	89.4178
8.5478	4.9813	4.4214	118.6264
8.9239	6.6398	5.8348	115.3656
7.2407	4.462	8.3216	46.2559
7.1045	0.2399	7.4361	92.291
6.1178	9.6512	9.1864	68.9607
8.1415	2.3852	3.94	55.7391
6.3409	6.5692	3.6444	35.1106
2.2762	0.5625	7.4369	10.7248
6.8991	3.8715	0.0158	5.7491
5.183	0.672	0.8334	9.5693
0.8601	6.6636	6.572	88.608
5.6846	6.2216	2.8689	84.5683
6.9958	6.8707	2.9905	87.0012
3.8801	0.283	8.7733	54.6596
1.17	6.2695	4.3539	43.7757
4.0671	6.0795	8.4635	115.9301
3.397	5.3066	4.5035	84.6045
7.8707	3.9913	3.7316	128.3979
6.0263	6.8138	1.228	95.8943
0.1103	3.4188	5.9825	40.3712
9.1532	3.7497	0.0000	62.9988
